"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Moritz\Documents\Jugend forscht\Base Algorithm\helper.py", "Python", 184, 0, 24, 105, 313
"c:\Users\Moritz\Documents\Jugend forscht\Base Algorithm\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Camera placer\gradient_descent.py", "Python", 172, 0, 15, 112, 299
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Camera placer\main.py", "Python", 73, 0, 7, 37, 117
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Camera reducer\gradient_descent.py", "Python", 170, 0, 15, 111, 296
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Camera reducer\main.py", "Python", 73, 0, 7, 37, 117
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Gradual\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Gradual\maxima.py", "Python", 156, 0, 12, 84, 252
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Total\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Total\maxima.py", "Python", 144, 0, 7, 80, 231
"c:\Users\Moritz\Documents\Jugend forscht\README.md", "Markdown", 0, 3, 0, 1, 4
"Total", "-", 1185, 3, 108, 675, 1971
